3038,1,22,22
3038,2,45,45
3038,3,96,96
3039,0,0,0
3039,1,331,331
3039,2,402,402
3039,3,473,473
3040,0,0,0
3040,1,26,26
3040,2,75,75
3040,3,152,152
3041,0,0,0
3041,1,133,133
3041,2,146,146
3041,3,264,264
3063,0,45,45
3063,1,227,227
3063,2,373,373
3063,3,665,665
3089,0,0,0
3089,1,22,22
3089,2,45,45
3089,3,96,96
3095,0,0,0
3095,1,140,140
3095,2,285,285
3095,3,604,604
3106,0,0,0
3106,1,22,22
3106,2,45,45
3106,3,96,96
3118,0,0,0
3118,1,88,88
3118,2,179,179
3118,3,379,379
3120,0,0,0
3120,1,100,100
3120,2,204,204
3120,3,433,433
3121,0,0,0
3121,1,22,22
3121,2,45,45
3121,3,96,96
3122,0,0,0
3122,1,62,62
3122,2,126,126
3122,3,267,267
3125,0,0,0
3125,1,44,44
3125,2,90,90
3125,3,191,191
3126,0,0,0
3126,1,100,100
3126,2,203,203
3126,3,425,425
3127,0,373,373
3127,1,318,318
3127,2,322,322
3127,3,330,330
3129,0,375,375
3129,1,299,299
3129,2,277,277
3129,3,229,229
3131,0,209,209
3131,1,176,176
3131,2,178,178
3131,3,183,183
3155,0,0,0
3155,1,20,20
3155,2,20,20
3155,3,20,20
3157,0,0,0
3157,1,20,20
3157,2,20,20
3157,3,20,20
3160,0,0,0
3160,1,20,20
3160,2,20,20
3160,3,20,20
3173,0,0,0
3173,1,170,170
3173,2,346,346
3173,3,733,733
3193,0,0,0
3193,1,180,180
3193,2,366,366
3193,3,775,775
3217,0,0,0
3217,1,60,60
3217,2,120,120
3217,3,180,180
3233,0,50,50
3233,1,50,50
3233,2,50,50
3233,3,50,50
3235,0,140,140
3235,1,120,120
3235,2,30,30
3235,3,60,60
3239,0,0,0
3239,1,30,30
3239,2,60,60
3239,3,90,90
3247,0,54,54
3247,1,25,25
3247,2,40,40
3247,3,40,40
3248,0,70,70
3248,1,56,56
3248,2,41,41
3248,3,41,41
3350,0,0,0
3350,1,15,15
3350,2,36,36
3350,3,36,36
3417,0,0,0
3417,1,26,26
3417,2,46,46
3417,3,46,46
3418,0,0,0
3418,1,5,5
3418,2,5,5
3418,3,5,5
3419,0,365,365
3419,1,82,82
3419,2,36,36
3419,3,36,36
3427,0,0,0
3427,1,49,49
3427,2,68,68
3427,3,68,68
3428,0,136,136
3428,1,33,33
3428,2,19,19
3428,3,19,19
3432,0,300,300
3432,1,200,200
3432,2,100,100
3432,3,0,0
3437,0,0,0
3437,1,100,100
3437,2,200,200
3437,3,300,300
3439,0,165,165
3439,1,108,108
3439,2,57,57
3439,3,6,6
3441,0,0,0
3441,1,60,60
3441,2,60,60
3441,3,60,60
3442,0,0,0
3442,1,10,10
3442,2,16,16
3442,3,22,22
3450,0,143,143
3450,1,166,166
3450,2,211,211
3450,3,256,256
3453,0,0,0
3453,1,16,16
